variable,coverage_pct,lat_range,lon_range,tlat_range,tlong_range
SSH,93.4157336421441,"[0.0, 1188.0]","[0.0, 1177.0]","[-34.79911446925631, 69.10060828621366]","[-1.0, 359.99885081243133]"
SST,93.4157336421441,"[0.0, 1188.0]","[0.0, 1177.0]","[-34.79911446925631, 69.10060828621366]","[-1.0, 359.99885081243133]"
